Displayname,Alertname,TimeRaised,TimeStopped
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,05/09/2017 20:25,05/09/2017 20:50
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,05/09/2017 22:25,05/09/2017 23:20
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,06/09/2017 02:30,06/09/2017 02:50
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,06/09/2017 06:30,06/09/2017 06:35
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,06/09/2017 07:15,06/09/2017 08:25
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,06/09/2017 10:30,06/09/2017 10:45
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,06/09/2017 12:35,06/09/2017 13:10
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,06/09/2017 14:35,06/09/2017 14:45
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,06/09/2017 16:40,06/09/2017 17:00
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,06/09/2017 18:50,06/09/2017 19:15
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,06/09/2017 20:40,06/09/2017 21:10
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,06/09/2017 22:45,06/09/2017 23:30
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,07/09/2017 00:45,07/09/2017 01:15
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,07/09/2017 02:45,07/09/2017 03:05
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,07/09/2017 04:50,07/09/2017 05:05
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,07/09/2017 06:45,07/09/2017 07:35
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,07/09/2017 08:50,07/09/2017 09:00
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,07/09/2017 10:45,07/09/2017 10:55
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,07/09/2017 12:55,07/09/2017 13:25
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,07/09/2017 14:55,07/09/2017 15:00
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,07/09/2017 16:55,07/09/2017 18:00
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,07/09/2017 19:00,07/09/2017 19:25
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,07/09/2017 21:00,07/09/2017 21:45
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,07/09/2017 23:00,07/09/2017 23:25
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,08/09/2017 01:00,08/09/2017 01:15
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,08/09/2017 03:05,08/09/2017 03:10
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,08/09/2017 03:55,08/09/2017 04:00
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,08/09/2017 07:05,08/09/2017 07:20
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,08/09/2017 12:45,08/09/2017 13:05
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,08/09/2017 14:50,08/09/2017 14:55
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,08/09/2017 19:05,08/09/2017 19:25
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,08/09/2017 21:15,08/09/2017 21:35
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,08/09/2017 23:20,08/09/2017 23:25
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,09/09/2017 03:50,09/09/2017 04:00
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,09/09/2017 07:25,09/09/2017 07:45
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,09/09/2017 09:25,09/09/2017 09:50
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,09/09/2017 11:25,09/09/2017 11:50
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,09/09/2017 13:25,09/09/2017 13:45
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,09/09/2017 15:25,09/09/2017 15:40
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,09/09/2017 17:30,09/09/2017 17:45
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,09/09/2017 19:30,09/09/2017 19:45
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,09/09/2017 21:35,09/09/2017 21:45
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,10/09/2017 03:35,10/09/2017 04:10
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,10/09/2017 05:35,10/09/2017 05:45
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,10/09/2017 07:40,10/09/2017 08:15
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,10/09/2017 09:45,10/09/2017 09:50
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,10/09/2017 11:40,10/09/2017 11:55
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,10/09/2017 13:45,10/09/2017 14:15
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,10/09/2017 17:45,10/09/2017 18:05
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,10/09/2017 19:50,10/09/2017 20:10
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,10/09/2017 21:50,10/09/2017 22:10
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,10/09/2017 23:55,11/09/2017 00:10
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,11/09/2017 01:50,11/09/2017 02:05
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,11/09/2017 03:55,11/09/2017 04:00
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,11/09/2017 06:00,11/09/2017 06:35
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,11/09/2017 07:55,11/09/2017 08:05
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,11/09/2017 09:10,11/09/2017 09:15
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,11/09/2017 09:50,11/09/2017 09:55
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,11/09/2017 11:50,11/09/2017 12:00
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,11/09/2017 20:30,11/09/2017 20:50
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,11/09/2017 22:05,11/09/2017 22:10
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,12/09/2017 00:05,12/09/2017 00:10
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,12/09/2017 02:05,12/09/2017 02:40
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,12/09/2017 03:55,12/09/2017 04:00
PRI-SQL-01.SurreyCC.local,SQL 2012 DB Average Wait Time is too high,12/09/2017 06:10,12/09/2017 06:50
